mom,id,AP,n_loci
urb06,3347,55.55555555555556,9
urb07,3,55.55555555555556,9
urb07,38,72.22222222222223,9
urb07,413,68.75,8
urb07,367,71.42857142857143,7
urb07,370,50,9
urb07,106,50,8
urb07,125,61.111111111111114,9
urb07,167,61.111111111111114,9
urb07,286,68.75,8
urb07,290,61.111111111111114,9
urb07,92,55.55555555555556,9
urb07,567,55.55555555555556,9
urb07,574,62.5,8
urb07,456,44.44444444444444,9
urb07,54,50,9
urb07,581,61.111111111111114,9
urb07,586,61.111111111111114,9
urb08,3768,55.55555555555556,9
urb08,3769,44.44444444444444,9
urb08,3775,50,9
urb08,3776,55.55555555555556,9
urb08,3771,27.77777777777778,9
urb08,3774,44.44444444444444,9
urb08,3767,27.77777777777778,9
urb08,3785,50,9
urb08,3796,44.44444444444444,9
urb08,3777,38.888888888888886,9
urb08,3778,50,9
urb08,3779,50,9
urb08,3780,55.55555555555556,9
urb08,3781,50,9
urb08,3782,38.888888888888886,9
urb08,3783,50,9
urb09,107,71.42857142857143,7
urb09,11,64.28571428571429,7
urb09,112,57.142857142857146,7
urb09,281,57.142857142857146,7
urb09,306,64.28571428571429,7
urb09,368,64.28571428571429,7
urb09,123,68.75,8
urb09,13,66.66666666666667,6
urb09,130,71.42857142857143,7
urb09,136,50,7
urb09,168,75,8
urb09,21,68.75,8
urb09,623,58.333333333333336,6
urb09,493,62.5,8
urb09,381,71.42857142857143,7
urb09,384,56.25,8
urb09,407,64.28571428571429,7
urb09,579,71.42857142857143,7
urb09,508,62.5,8
urb09,540,64.28571428571429,7
urb09,554,71.42857142857143,7
urb11,134,38.888888888888886,9
urb11,20,44.44444444444444,9
urb11,229,50,9
urb11,145,56.25,8
urb11,149,50,9
urb11,110,38.888888888888886,9
urb11,553,50,9
urb11,583,38.888888888888886,9
urb11,591,50,9
urb11,610,50,7
urb11,327,43.75,8
urb11,261,56.25,8
urb11,307,41.666666666666664,6
urb11,325,35.714285714285715,7
urb11,510,44.44444444444444,9
urb11,343,66.66666666666667,6
urb11,391,42.857142857142854,7
urb11,498,50,9
urb12,32,50,9
urb12,324,38.888888888888886,9
urb12,36,44.44444444444444,9
urb12,437,44.44444444444444,9
urb12,462,44.44444444444444,9
urb12,593,38.888888888888886,9
urb12,639,44.44444444444444,9
urb12,640,56.25,8
urb12,66,44.44444444444444,9
urb12,227,27.77777777777778,9
urb12,266,38.888888888888886,9
urb12,28,50,9
urb12,294,50,8
urb12,319,44.44444444444444,9
urb12,148,50,8
urb12,193,50,8
urb12,210,43.75,8
nat19,190,50,9
nat19,224,50,9
nat19,195,50,9
nat19,22,44.44444444444444,9
nat19,223,43.75,8
nat19,100,50,9
nat19,15,50,8
nat19,183,61.111111111111114,9
nat19,185,50,8
nat19,482,56.25,8
nat19,513,38.888888888888886,9
nat19,538,50,8
nat19,557,55.55555555555556,9
nat19,606,62.5,8
nat19,270,28.571428571428573,7
nat19,275,61.111111111111114,9
nat19,33,50,9
nat19,364,56.25,8
nat19,375,56.25,8
nat19,397,50,8
nat19,430,44.44444444444444,9
nat19,46,55.55555555555556,9
nat19,76,50,8
nat19,627,50,8
nat19,631,56.25,8
nat19,611,50,9
nat19,616,66.66666666666667,6
nat19,657,44.44444444444444,9
nat19,659,62.5,8
nat20,405,44.44444444444444,9
nat20,446,44.44444444444444,9
nat20,605,50,7
nat20,615,42.857142857142854,7
nat20,473,44.44444444444444,9
nat20,519,44.44444444444444,9
nat20,301,50,8
nat21,573,44.44444444444444,9
nat21,68,50,9
nat21,332,56.25,8
nat21,333,58.333333333333336,6
nat21,358,55.55555555555556,9
nat21,500,38.888888888888886,9
nat21,527,50,9
nat21,568,44.44444444444444,9
nat21,422,50,9
urb13,12,38.888888888888886,9
urb13,156,38.888888888888886,9
urb13,654,50,6
urb13,82,38.888888888888886,9
urb13,258,43.75,8
urb13,277,37.5,8
urb13,285,44.44444444444444,9
urb13,245,50,8
urb13,315,71.42857142857143,7
urb13,411,37.5,8
urb13,637,41.666666666666664,6
urb13,292,42.857142857142854,7
nat22,101,50,9
nat22,142,44.44444444444444,9
nat22,535,50,9
nat22,609,44.44444444444444,9
nat22,638,44.44444444444444,9
nat22,191,44.44444444444444,9
nat22,199,44.44444444444444,9
nat22,25,44.44444444444444,9
nat22,353,43.75,8
nat22,492,44.44444444444444,9
nat22,505,44.44444444444444,9
nat22,254,55.55555555555556,9
urb14,126,66.66666666666667,9
urb14,157,50,6
urb14,428,55.55555555555556,9
urb14,441,55.55555555555556,9
urb14,453,50,9
urb14,488,50,8
urb14,497,55.55555555555556,9
urb14,162,61.111111111111114,9
urb14,163,44.44444444444444,9
urb14,18,56.25,8
urb14,217,50,8
urb14,265,42.857142857142854,7
urb14,35,66.66666666666667,9
urb14,395,56.25,8
urb14,603,61.111111111111114,9
urb14,587,50,7
urb14,600,50,7
urb14,652,43.75,8
urb14,9,44.44444444444444,9
nat23,216,41.666666666666664,6
nat23,309,57.142857142857146,7
nat23,380,43.75,8
nat23,244,50,9
nat23,259,57.142857142857146,7
nat23,2,43.75,8
nat23,501,55.55555555555556,9
nat25,582,33.333333333333336,9
